mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_decay,param_n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
2.220828056335449,0.10126320521036784,-4886994.941547477,-9112658.323818026,0.5,5,"{'learning_decay': 0.5, 'n_components': 5}",8,-5241117.571239157,-8711493.059578419,-4037181.870833457,-9929485.478039242,-5397264.513188121,-8696996.433836417,0.0638466596075335,0.008515971267779728,608578.3357373851,577614.3395867314
2.390329360961914,0.11414829889933269,-4909185.285482819,-9050368.352341799,0.5,7,"{'learning_decay': 0.5, 'n_components': 7}",23,-5281372.334355152,-8642366.94241166,-4063247.567407748,-9881680.685016112,-5396869.797897403,-8627057.429597626,0.08943884843308075,0.0041870315511373084,604320.2954037107,587859.8138660593
2.4369610945383706,0.12310449282328288,-4911821.38690129,-9038291.177176332,0.5,8,"{'learning_decay': 0.5, 'n_components': 8}",26,-5278274.2293730015,-8619947.598941619,-4072825.4046411607,-9853512.09688485,-5398262.854330546,-8641413.835702522,0.08399333383638712,0.00469224292093352,599537.7087817251,576514.8513715687
2.55538280804952,0.1299297014872233,-4922638.498247213,-9023681.007714333,0.5,9,"{'learning_decay': 0.5, 'n_components': 9}",34,-5301716.400572003,-8595008.730350913,-4079388.834811272,-9839940.236593755,-5400462.369979278,-8636094.056198332,0.05957492622102225,0.004918199285867793,601917.4806364129,577426.0977522681
2.5773985385894775,0.13944538434346518,-4929547.196444082,-9007284.950898862,0.5,10,"{'learning_decay': 0.5, 'n_components': 10}",38,-5276922.826746403,-8563359.448749106,-4098039.23193245,-9841782.247310987,-5427918.716953667,-8616713.156636493,0.11135855310935701,0.003404748433553574,595393.8433812,590480.5714137665
2.8856751918792725,0.1685934066772461,-4967590.970993076,-8975067.525096653,0.5,15,"{'learning_decay': 0.5, 'n_components': 15}",46,-5352436.6950871125,-8515358.023286201,-4126503.994588942,-9816624.71534197,-5437251.083665235,-8593219.836661788,0.07665526635318709,0.0023116403556204404,600027.3614903193,595919.1745171088
3.657111883163452,0.21884799003601074,-5019655.003951943,-8946562.574324943,0.5,25,"{'learning_decay': 0.5, 'n_components': 25}",49,-5394176.318132596,-8496415.500732513,-4185885.154243945,-9776178.135621306,-5492410.849347739,-8567094.086621009,0.11506669124907735,0.015562317215252296,595167.0598948208,587335.9914532788
4.2223788897196455,0.23379977544148764,-5061102.614965711,-8935372.507769553,0.5,35,"{'learning_decay': 0.5, 'n_components': 35}",56,-5456886.518477277,-8452659.597851727,-4194033.860762419,-9791512.95580756,-5546248.78479543,-8561944.969649374,0.07688773689372636,0.012069302677571905,618608.3225927271,607024.5317378177
4.628358840942383,0.25969942410786945,-5091934.232946881,-8928317.966746747,0.5,40,"{'learning_decay': 0.5, 'n_components': 40}",63,-5489041.490115487,-8425427.859431926,-4231760.526346478,-9779538.282005131,-5568620.283832556,-8579987.758803185,0.18117155288266287,0.018036638678592738,613482.8093831443,605202.0100511069
7.488548835118611,0.39067848523457843,-5114576.898281777,-8944472.906363936,0.5,50,"{'learning_decay': 0.5, 'n_components': 50}",67,-5536019.945264146,-8445970.633284245,-4257868.239942991,-9781831.72368471,-5562644.439383972,-8605616.362122858,0.33854877363987534,0.036291999308051916,610254.7747940025,595678.3423922313
1.6920091311136882,0.0716715653737386,-4888969.602428233,-9211014.886236342,0.6,3,"{'learning_decay': 0.6, 'n_components': 3}",10,-5209352.8796455115,-8805385.772021351,-4045478.9315666696,-10064305.32924325,-5427462.5076502925,-8763353.55744442,0.11778557179659353,0.00961410566100669,607274.8488314325,603611.4157639038
2.0797205766042075,0.08686590194702148,-4881639.38966378,-9147409.243934989,0.6,4,"{'learning_decay': 0.6, 'n_components': 4}",6,-5233820.4322270965,-8777584.27708576,-4038793.0667701475,-9965918.618881125,-5386736.001768519,-8698724.83583808,0.05803276430370849,0.006451304379421625,603506.7184118731,579668.2387507017
2.2101167837778726,0.10318684577941895,-4903286.21258281,-9116508.455131402,0.6,5,"{'learning_decay': 0.6, 'n_components': 5}",18,-5270242.105211502,-8725135.859095832,-4060414.8068547677,-9965240.581292069,-5393199.2407733165,-8659148.925006308,0.10136698697511513,0.007351394393079976,602387.9686537791,600748.552696571
2.4057186444600425,0.12235720952351888,-4908695.652248905,-9051006.798760967,0.6,7,"{'learning_decay': 0.6, 'n_components': 7}",21,-5264760.507098563,-8645111.084537413,-4065698.516409991,-9872303.309711263,-5409949.470914315,-8635606.002034225,0.06727257860197859,0.0047972219475838915,603297.0756992565,580757.2963081308
2.5084175268809,0.19683400789896646,-4931306.826532343,-9036364.261939762,0.6,8,"{'learning_decay': 0.6, 'n_components': 8}",40,-5287658.203128891,-8617934.657440348,-4077299.50892016,-9853905.100416053,-5443599.706989613,-8637253.02796289,0.04743284562485581,0.0962218700400878,611540.5665933939,578142.4661749603
2.5469444592793784,0.12980047861735025,-4916710.713804379,-9035675.128822325,0.6,9,"{'learning_decay': 0.6, 'n_components': 9}",29,-5277921.063956489,-8632135.552693889,-4083128.570544164,-9859279.895980315,-5402975.794945076,-8615609.937792774,0.08748597880388617,0.002411990275664208,595867.5843669347,582415.592368536
2.641043504079183,0.13803648948669434,-4944342.903272319,-9010715.504199043,0.6,10,"{'learning_decay': 0.6, 'n_components': 10}",42,-5307633.725361296,-8572819.663636137,-4107543.3427294204,-9852926.944207733,-5431778.3693278255,-8606399.904753262,0.08224937603984828,0.004428566420582569,598119.2779583061,595691.1898008361
2.947960376739502,0.17069435119628906,-4970603.189625788,-8964698.323447978,0.6,15,"{'learning_decay': 0.6, 'n_components': 15}",47,-5355625.056918793,-8509914.34208727,-4123880.1004759963,-9789312.834839625,-5445883.859184244,-8594867.793417037,0.07031231137485752,0.00804297970184003,604165.6857319719,584121.0442602197
3.607295274734497,0.21960902214050293,-5025481.568717469,-8940373.985122452,0.6,25,"{'learning_decay': 0.6, 'n_components': 25}",50,-5417411.618513885,-8445352.477162935,-4176079.374232847,-9790072.416502241,-5496408.776484741,-8585697.061702179,0.15459877325225718,0.01481671204221921,605809.4284003527,603553.211583607
4.192170222600301,0.2354424794514974,-5070712.7178974785,-8934292.79543814,0.6,35,"{'learning_decay': 0.6, 'n_components': 35}",58,-5482601.086615908,-8435998.34487683,-4224256.3240858875,-9778272.382893799,-5518062.1554933805,-8588607.658543795,0.15569364719794615,0.013257270769071301,603029.5915261348,600026.9764412497
4.567968289057414,0.2550050417582194,-5098532.364598885,-8941578.485618262,0.6,40,"{'learning_decay': 0.6, 'n_components': 40}",65,-5509849.027578892,-8460908.771029955,-4279157.672511218,-9783405.140135935,-5518592.100445006,-8580421.545688897,0.20231667923748606,0.018819414803566324,583579.6044493804,597257.573145223
7.520208199818929,0.3983783721923828,-5128736.718361866,-8933722.189472528,0.6,50,"{'learning_decay': 0.6, 'n_components': 50}",70,-5549267.185607449,-8446182.444071554,-4263557.914135873,-9780031.554217633,-5586462.947606406,-8574952.570128396,0.3347534065763918,0.03495898167961431,616377.1364613317,600735.7111534831
1.5722846190134685,0.06760430335998535,-4877364.797371281,-9186911.953532364,0.7,3,"{'learning_decay': 0.7, 'n_components': 3}",2,-5213753.9299547635,-8801766.7567391,-4029447.224413119,-10028257.078278545,-5403938.191874629,-8730712.025579449,0.14952599472348832,0.010794051130620116,608843.239739555,595627.6285877875
1.9440545241038005,0.08899259567260742,-4881156.119421283,-9144468.457937455,0.7,4,"{'learning_decay': 0.7, 'n_components': 4}",5,-5221232.817166414,-8729852.391927455,-4048818.268822794,-9971908.565911524,-5387895.541476211,-8731644.415973382,0.12653834633460667,0.009338951818439294,596673.7177685736,585088.9687621028
2.126638571421305,0.0928637186686198,-4877563.529154083,-9095838.326945856,0.7,5,"{'learning_decay': 0.7, 'n_components': 5}",3,-5222955.695408288,-8684019.843652813,-4044520.7348518386,-9919499.429654995,-5379556.822732945,-8683995.707529763,0.09027376923179475,0.004470990708436597,596720.755695084,582416.3512085738
2.4236745039621987,0.1181342601776123,-4918592.478771194,-9064904.038202649,0.7,7,"{'learning_decay': 0.7, 'n_components': 7}",32,-5279783.254655036,-8662486.341774555,-4069019.1170890783,-9873194.336393854,-5421339.258269415,-8659031.43643954,0.06580642626212073,0.0004104575555233676,607816.2804195515,571549.2913740323
2.438002030054728,0.12298361460367839,-4911040.14341324,-9035506.675159143,0.7,8,"{'learning_decay': 0.7, 'n_components': 8}",24,-5260221.992812208,-8617287.06420423,-4079849.253428635,-9859236.272420889,-5407225.92048669,-8629996.688852308,0.10460563884735036,0.006136199013241851,595003.4756410068,582487.8944054961
2.509179433186849,0.13116327921549478,-4918449.833643465,-9017510.916327378,0.7,9,"{'learning_decay': 0.7, 'n_components': 9}",31,-5290769.310280716,-8589809.579913814,-4075732.1796974195,-9848205.764558608,-5402683.251461343,-8614517.40450971,0.061678334403229236,0.0026994659414213396,601921.6614081613,587476.5625438435
2.5963294506073,0.1339565912882487,-4920650.144030232,-9012899.703055663,0.7,10,"{'learning_decay': 0.7, 'n_components': 10}",33,-5289748.3902808605,-8594589.429620223,-4093801.994232321,-9828741.017138382,-5391863.280034789,-8615368.662408384,0.0667567631948322,0.005051649388332075,590357.7802241523,576949.2938158892
2.8957486947377524,0.1620666186014811,-4953429.722881471,-8977639.356164213,0.7,15,"{'learning_decay': 0.7, 'n_components': 15}",43,-5341048.012000961,-8530920.72445723,-4116988.2681740206,-9810683.981146755,-5415453.5698102545,-8591313.362888653,0.07057326858963643,0.005315760359107385,596493.9532940825,589567.2583081059
3.620126167933146,0.21944411595662436,-5037989.320069906,-8937747.717284167,0.7,25,"{'learning_decay': 0.7, 'n_components': 25}",54,-5415987.813898705,-8443857.74661744,-4203193.828138583,-9804249.422656868,-5508221.523998976,-8565135.982578196,0.15219946067733095,0.013690491971095732,595736.8270986839,614706.4376268215
4.182992617289226,0.23605656623840332,-5061106.868435698,-8931927.836878132,0.7,35,"{'learning_decay': 0.7, 'n_components': 35}",57,-5470660.898081692,-8434604.855607796,-4244638.887046022,-9782779.039843127,-5479988.877583604,-8578399.615183473,0.1872027510539081,0.013838445198907838,581510.9550870297,604499.8265291128
4.571455240249634,0.2594715754191081,-5123363.3458572645,-8938615.747370891,0.7,40,"{'learning_decay': 0.7, 'n_components': 40}",69,-5511223.7596008,-8442168.52768058,-4307654.689249537,-9794399.21967733,-5563795.360570405,-8579279.494754763,0.21376439568584335,0.014825843816565822,581352.0644993688,607713.6759624303
7.582722902297974,0.3977657953898112,-5122759.748429372,-8929236.208871525,0.7,50,"{'learning_decay': 0.7, 'n_components': 50}",68,-5534948.431200667,-8430269.035361711,-4281594.911133086,-9774663.370834017,-5564352.848675685,-8582776.220418844,0.3520230424944574,0.03426434042952198,599207.6068096571,601040.7224204137
